,name,description
0,ProxyItemSelect,"A ProxyItemSelect is an abstract generalization of instances that are
               either ExternalItems or ExternalOwlObjects. "
1,LocalizedString," A LocalizedString is a text based string. The language in which the the
            string is expressed is optionally identified. "
2,DataContainer," A DataContainer is an abstract generalization of the root element of a
            data file. Only non-abstract specializations of the DataContainer can be instantiated.
         "
3,PlcsDataContainer," A PlcsDataContainer is a specialization of the abstract DataContainer
            element. "
4,Activity," An Activity is the identification of the occurrence of an action that
            has taken place, is taking place, or is expected to take place in the future. The
            procedure executed during an Activity is identified by the ActivityMethod that is
            referred to by the chosenMethod attribute. Change, distilling, design, a process to
            drill a hole, and a task such as training someone, are examples of activities. NOTE:
            Status information identifying the level of completion of each activity may be provided
            within an instance of StateObserved. NOTE: The items that are affected by an Activity,
            for example as input or output, may be identified within an instance of
            ActivityAssignment. "
5,ActivityActual," An ActivityActual is a specialization of Activity. It is a record of
            the occurrence of an Activity. The ActivityActual is related through an
            ActivityHappening to the Activity of which it is an occurrence. The existence of an
            ActivityActual instance means that the ActivityActual has commenced. NOTE: A
            DateTimeAssignment classified as ""start date"" should assign a date to the ActivityActual
            to record when the activity started. NOTE: A date and time may be assigned to the
            activity with role ""end date"" to record when the activity finished. In general, the
            absence of this assignment cannot be used to infer that the activity is continuing, only
            that the end of the activity has not yet been recorded. NOTE: A more detailed history of
            the progress of an activity may be recorded by applying states to the activity, but the
            meaning of these states must be defined through local business rules.
         "
6,ActivityAssignment," An ActivityAssignment is a specialization of an AssignmentObject that
            represents the assignment of Activity instances to instances that are specializations of
            ActivityAssignmentSelect. NOTE: The meaning of the assignment is determined by
            classification which is identified by the AssignmentObject property. The possible
            classifications are subclasses of . NOTE: This entity should not be used to represent
            the association of an activity with the organizations that are responsible for its
            execution or its management. That kind of information can be represented with instances
            of OrganizationOrPersonInOrganizationAssignment "
7,ActivityHappening," An ActivityHappening is a specialization of ActivityRelationship. It is
            a relationship between the definition of an activity (ActivityHappening) and its actual
            occurrence (ActivityHappening). NOTE: Many ActivityActuals may be realizations of a
            single Activity. A single defined check (e.g. an oil-check) is actually performed on
            many occasions or vehicles. NOTE: A single ActivityActual may realize several
            activities. A single actual servicing activity includes several checks and repairs (e.g.
            an oil-check and a tyre-replacement). "
8,ActivityMethod," An ActivityMethod is a way to carry out an Activity. NOTE: There may be
            more than one method for producing a required result. NOTE: This definition may be used
            to characterize a way to resolve a request for action. The concept of action request is
            represented by WorkRequest. "
9,ActivityMethodAssignment,"An ActivityMethodAssignment is an association of an ActivityMethod with
            product or activity data. "
10,ActivityMethodRealization," An ActivityMethodRealization is a specialization of an
            AssociationObject.  It is a further specification of how an activity method is to be
            performed with the ActivityMethod. NOTE: More than one specification can be associated
            with the same ActivityMethod. For a given planned activity there may be a task
            specification, a statement of how task performance is to be logged and a schedule that
            all apply. "
11,ActivityMethodRealizationRelationship," An ActivityMethodRealizationRelationship is a specialization of an
            RelationshipObject that is a relationship between two instances of
            ActivityMethodRealization. NOTE: The meaning of the relationship is determined by
            classification which is identified by the ActivityMethodRealizationRelationship
            property. The possible classifications are subclasses of . NOTE: An
            ActivityMethodRealizationRelationship may be used to specify sequencing and other
            constraints between different realizations for the same ActivityMethod.
         "
12,ActivityMethodRelationship," An ActivityMethodRelationship is a specialization of an
            RelationshipObject that is a relationship between two instances of ActivityMethod. NOTE:
            The meaning of the relationship is determined by classification which is identified by
            the RelationshipObject property. The possible classifications are subclasses of .
         "
13,ActivityRelationship," An ActivityRelationship is a specialization of an RelationshipObject
            that is a relationship between two instances of Activity. NOTE: The meaning of the
            relationship is determined by classification which is identified by the
            RelationshipObject property. The possible classifications are subclasses of . The
            activity required to complete a work order, may be decomposed into a series of
            activities. Their corresponding instances would be related using instances of the
            ActivityRelationship entity. "
14,Address,"An Address is the information that locate persons or organizations. It
            provides location details for communication via postal mail, telephone, facsimile, telex
            or electronic mail. "
15,AddressAssignment," An AddressAssignment is a specialization of an AssignmentObject that
            represents the association of an Organization or a PersonInOrganization with an Address.
            NOTE: The meaning of the assignment is determined by classification which is identified
            by the AssignmentObject property. The possible classifications are subclasses of .
         "
16,AddressBasedLocationRepresentation,"An AddressBasedLocationRepresentation is a specialization of
            LocationRepresentation specified by its postal identification. "
17,AdvisoryNote,"An AdvisoryNote is the link between a task element with an advisory task
            step. "
18,AdvisoryTaskStep,"An AdvisoryTaskStep is a type of TaskStep. It conveys information. NOTE:
            Some TaskMethods may not require any action to be undertaken. ""Beware of hot exhausts"",
            ""do not use tool X this way"" and similar messages. "
19,AlternatePartRelationship,"An AlternatePartRelationship is a specialization of
            AlternateProductRelationship where the alternate and base products are parts.
         "
20,AlternateProductRelationship,"An AlternateProductRelationship is an association between two instances
            of Product. It specifies that any version of the AlternateProductRelationship, may be
            used in place of any version of the baseProduct. The relationship established by the
            AlternateProductRelationship is not symmetric: if B is an alternate product for A, A is
            not implied to be an alternate product for B. NOTE: If a product is an alternate for
            another product, it is understood that there is no interest to keep track of which
            product, the base or any alternates specified, is used as a particular instance of the
            base product within a product structure. NOTE: An organization may track design changes
            for a base part, and establish effectivity conditions for the use of that base part in
            various assemblies to be manufactured. The use of an alternate product implies that an
            organization does not specify any particular version of the alternate product nor
            establish effectivities relating to it. NOTE: An AlternateProductRelationship may relate
            products of any kind, provided both related instances of Product identify products of
            the same kind, for example part-part or document-document. NOTE: An
            AlternateProductRelationship for which the baseProduct is an assembly involves that the
            entire product structure of the alternateProduct may be used in place of the baseProduct
            and its product structure. Two bolts of the same size are products. One bolt has a
            square head and the other has a hexagonal head. The two bolts are considered equivalent
            with respect to form, fit, and function: they both have sufficiently close physical
            shape, they take up the same space when used, and they both serve to fasten two things
            together. Thus, one of these two bolts could be considered to be an alternate part for
            the other bolt. "
21,Analysis," An Analysis is a specialization of Product. It is produced via a
            reproducible process. NOTE: Analysis is the process of studying or examining something
            in an organized way to learn more about it, or a particular study or examination of
            something. The full range of the analysis process includes mathematical, physical
            testing, cognitive, chemical, etc. "
22,AnalysisAssignment,"An AnalysisAssignment is a specialization of a AssignmentObject that
            relates a specific version of an analysis to the item being analyzed.
         "
23,AnalysisDisciplineDefinition," An AnalysisDisciplineDefinition is a specialization of
            ProductViewDefinition. It is a definition or view of an AnalysisVersion taken from the
            perspective of the analysing organization. The AnalysisDisciplineDefinition is
            controlled by the analysing organization. The entity may be used to capture the
            definition of a particular version of an analysis at any intermediate stage of its
            development where the definition is not formally released by an organization at the
            analysis version level. It may be used to capture the various stages in the definition
            cycle of a product. If the analysis is explicitly represented by a model then the model
            is referenced from AnalysisDisciplineDefinition.definitionalRepresentations.
         "
24,AnalysisModel,"An AnalysisModel is used to support the description of analysis
            concepts. "
25,AnalysisModelObject," An AnalysisModelObject represents the results of an analysis.
         "
26,AnalysisRepresentationContext,"An AnalysisRepresentationContext defines the context for the items
            (AnalysisModelItemsSelect) used in an AnalysisModel. "
27,AnalysisVersion," An AnalysisVersion is a specialization of ProductVersion that
            identifies a particular version of an analysis. "
28,AnalysisVersionRelationship,"A AnalysisVersionRelationship is a specialization of
            ProductVersionRelationship that is used to assert an association between two versions of
            an analysis. "
29,AnalysisVersionSequence,"A AnalysisVersionSequence is a specialization of
            AnalysisVersionRelationship that is used to assert that the one analysis version (the
            successor) replaces another (its predecessor). "
30,AndStateCauseEffectDefinition,"An AndStateCauseEffectDefinition is a specialization of
            StateCauseEffectDefinition. It relates one or more causing StateDefinition entities and
            one effect StateDefinition. All the causing StateDefinition entities must exist prior to
            the single effect. "
